0,1
"('better', 'music')",2081
"('great', 'service')",1595
"('fast', 'delivery')",1145
"('customer', 'service')",973
"('excellent', 'service')",766
"('quick', 'delivery')",681
"('service', 'great')",641
"('great', 'price')",438
"('good', 'service')",401
"('fast', 'shipping')",376
"('great', 'product')",364
"('good', 'price')",340
"('prompt', 'delivery')",318
"('service', 'fast')",315
"('service', 'excellent')",295
"('highly', 'recommend')",292
"('great', 'customer')",283
"('super', 'fast')",266
"('delivery', 'great')",255
"('great', 'communication')",245
"('best', 'price')",219
"('great', 'prices')",209
"('deal', 'with')",208
"('service', 'good')",206
"('excellent', 'customer')",206
"('highly', 'recommended')",202
"('good', 'communication')",197
"('prompt', 'service')",196
"('fast', 'service')",190
"('speedy', 'delivery')",180
"('service', 'quick')",178
"('well', 'packaged')",177
"('great', 'experience')",177
"('would', 'recommend')",171
"('perfect', 'condition')",167
"('fantastic', 'service')",161
"('arrived', 'quickly')",161
"('within', 'days')",155
"('delivery', 'good')",152
"('service', 'prompt')",149
"('delivery', 'fast')",148
"('efficient', 'service')",145
"('price', 'fast')",145
"('recommend', 'better')",141
"('good', 'prices')",137
"('easy', 'deal')",132
"('delivery', 'quick')",131
"('would', 'definitely')",126
"('delivery', 'time')",126
"('quick', 'service')",126
